Freq.	V(va)/I(R3)
4.62412958035110e+004	(9.96837103000294e+001dB,-1.78576462873498e+002°)
4.63478929993686e+004	(9.96869844102151e+001dB,-1.78584586303539e+002°)
4.64547359271412e+004	(9.96902090215926e+001dB,-1.78592633979095e+002°)
4.65618251532992e+004	(9.96933852017924e+001dB,-1.78600606708819e+002°)
4.66691612456191e+004	(9.96965139883759e+001dB,-1.78608505300889e+002°)
4.67767447731861e+004	(9.96995963898733e+001dB,-1.78616330562265e+002°)
4.68845763063975e+004	(9.97026333867801e+001dB,-1.78624083298000e+002°)
4.69926564169652e+004	(9.97056259325127e+001dB,-1.78631764310614e+002°)
4.71009856779192e+004	(9.97085749543264e+001dB,-1.78639374399517e+002°)
4.72095646636106e+004	(9.97114813541958e+001dB,-1.78646914360486e+002°)
4.73183939497142e+004	(9.97143460096612e+001dB,-1.78654384985186e+002°)
4.74274741132321e+004	(9.97171697746412e+001dB,-1.78661787060731e+002°)
4.75368057324965e+004	(9.97199534802130e+001dB,-1.78669121369292e+002°)
4.76463893871728e+004	(9.97226979353635e+001dB,-1.78676388687734e+002°)
4.77562256582625e+004	(9.97254039277099e+001dB,-1.78683589787293e+002°)
4.78663151281067e+004	(9.97280722241937e+001dB,-1.78690725433280e+002°)
4.79766583803888e+004	(9.97307035717475e+001dB,-1.78697796384820e+002°)
4.80872560001376e+004	(9.97332986979363e+001dB,-1.78704803394616e+002°)
4.81981085737309e+004	(9.97358583115754e+001dB,-1.78711747208735e+002°)
4.83092166888978e+004	(9.97383831033241e+001dB,-1.78718628566422e+002°)
4.84205809347225e+004	(9.97408737462577e+001dB,-1.78725448199937e+002°)
4.85322019016473e+004	(9.97433308964181e+001dB,-1.78732206834406e+002°)
4.86440801814752e+004	(9.97457551933439e+001dB,-1.78738905187697e+002°)
4.87562163673740e+004	(9.97481472605815e+001dB,-1.78745543970312e+002°)
4.88686110538784e+004	(9.97505077061769e+001dB,-1.78752123885292e+002°)
4.89812648368938e+004	(9.97528371231500e+001dB,-1.78758645628141e+002°)
4.90941783136995e+004	(9.97551360899517e+001dB,-1.78765109886762e+002°)
4.92073520829515e+004	(9.97574051709044e+001dB,-1.78771517341405e+002°)
4.93207867446857e+004	(9.97596449166272e+001dB,-1.78777868664629e+002°)
4.94344829003215e+004	(9.97618558644454e+001dB,-1.78784164521272e+002°)
4.95484411526646e+004	(9.97640385387857e+001dB,-1.78790405568434e+002°)
4.96626621059103e+004	(9.97661934515580e+001dB,-1.78796592455469e+002°)
4.97771463656467e+004	(9.97683211025230e+001dB,-1.78802725823982e+002°)
4.98918945388580e+004	(9.97704219796480e+001dB,-1.78808806307840e+002°)
5.00000000000000e+004	(9.97723728355976e+001dB,-1.78814474354118e+002°)
